"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"beta_alpha_0.4","beta",0.4,17,0.5,551,552,1103,0.496331363595268,669.250707234857,534.613217313132,0.456577730790012,0.516239450817513,0.375535144787595
"beta_alpha_0.4","beta",0.4,18,0.5,551,552,1103,0.456003042367455,711.79201003005,577.771173540774,0.363530745044987,0.496115646633489,0.376403529428987
"beta_alpha_0.4","beta",0.4,19,0.5,551,552,1103,0.496611179199536,705.103979681306,562.490884625407,0.400186973451354,0.529171398730612,0.362840876556652
"beta_alpha_0.4","beta",0.4,20,0.5,551,552,1103,0.449179151090926,712.157864411193,569.277897083439,0.401426205727265,0.469427810634763,0.366358111608263
"beta_alpha_0.4","beta",0.4,21,0.5,551,552,1103,0.370707674276368,803.388858792699,635.499732131299,0.296856460838647,0.49232545872635,0.361464691572419
"beta_alpha_0.4","beta",0.4,22,0.5,551,552,1103,0.558354231640014,660.427065528511,523.310532041721,0.436184761868028,0.506631882444298,0.376772911408945
"beta_alpha_0.4","beta",0.4,23,0.5,551,552,1103,0.335207898649037,753.99462802133,609.682732852518,0.296353622678079,0.486237859468728,0.370909342260082
"beta_alpha_0.4","beta",0.4,24,0.5,551,552,1103,0.423498238970237,679.398590352801,527.295207399423,0.397589365270963,0.504351131665279,0.37368437711596
"beta_alpha_0.4","beta",0.4,25,0.5,551,552,1103,0.426803062777592,677.600958196498,530.053629682924,0.428168524958007,0.499529065001497,0.382106860032644
"beta_alpha_0.4","beta",0.4,26,0.5,551,552,1103,0.282899233652757,760.208907531983,609.227631988633,0.264213117339734,0.496436323484523,0.364455218959292
